drink water; head tilts forward slightly; hand reaches for cup; arm extends forward; hip remains stationary; leg remains stationary; foot remains stationary.
eat meal; head tilts slightly forward; hand reaches for utensils; arm extends forward; hip remains stationary; leg remains stationary; foot remains stationary.
brush teeth; head tilts forward slightly; hand brings toothbrush up to mouth; arm extends forward; hip remains stationary; leg remains stationary; foot remains stationary.
brush hair; head is tilted slightly forward as he prepares to brush his hair; hand is grasping the brush handle; arm is holding the brush vertically in front of the head; hip is neutral, slightly relaxed; leg is standing straight; foot is planted firmly on the ground.
drop; head tilts forward slightly; hands grasp object; arms hold object steady; hips stay neutral; legs stand still; feet stay grounded.
pick up; head tilts slightly forward; hand reaches down; arm extends; hip doesn't move; leg doesn't move; foot doesn't move.
throw;head remains still;hand holds the object;arm brings the object back, cocking it;hip slightly tilts forward;leg remains still;foot remains still.
sit down; head looks up and slightly forward; hand reaches for the edge of the chair; arm extends forward with palm facing down; hip starts to lift up; leg begins to bend at the knee; foot lifts off the ground.
stand up; head slightly tilts forward; hands grasp thighs; arm flexes to push down on thighs; hip starts to lift body upward; leg begins to straighten at knee; foot starts to lift off the floor.
clapping; head slightly tilted forward; hands raised to ear level with palms facing each other; arms bent at elbows with forearms parallel to the ground; hips still; legs still; feet still.
reading; head is slightly tilted forward; right hand is holding a book; left arm is relaxed by the side; hips are level with shoulders; legs are slightly apart; feet are flat on the floor.
writing; head is looking down slightly; right hand is holding a pen and resting on the paper; right arm is relaxed and bent at the elbow; hips are slightly leaning forward; legs are bent at the knees and feet are flat on the floor; feet are in a neutral position.
tear up paper; head is tilted back slightly as he looks at the paper in hand; hand is holding the paper close to face; arm is extended slightly; hip is slightly rotated; leg is slightly bent; feet are flat on the ground.
put on jacket; head looks down at the jacket; hand reaches down to grab the jacket; arm extends to grasp the jacket; hip rotates slightly to facilitate arm movement; leg stands still; foot stands on both feet.
take off jacket; head tilts back slightly; grabs the bottom of jacket with both hands, brings hands up the jacket; arms straighten as the jacket falls downs; hip steps out of the jacket; legs straight; feet on the ground.
put on a shoe; head remains still; hand reaches down to the floor; arm extends down and forward; hip remains stationary; leg bends at the knee, bringing foot closer to the hand; foot points downwards.
take off a shoe; head looks down slightly; hand reaches down towards the shoe; arm extends down towards the shoe; hip remains stationary; leg remains in a neutral position; foot is still in contact with the ground.
put on glasses; head tilt slightly forwards; hand reach up to forehead; arm bend at elbow; hip stay stationary; leg stay stationary; foot stay stationary.
