drink water; head tilts back slightly; hand reaches for cup; arm extends and flexes; hip remains stationary; leg remains stationary; foot remains stationary.
eat meal; head tilts slightly forward; hand approaches plate; arm extends slightly; hip remains stationary; leg remains stationary; foot remains stationary.
brush teeth; head tilts forward slightly; hand brings toothbrush up to mouth; arm extends forward; hip remains stationary; leg remains stationary; foot remains stationary.
brush hair; head is tilted slightly forward; hand is grasping hairbrush; arm is holding hairbrush vertically; hip is stationary; leg is standing; foot is standing.
drop; head tilts back slightly; hands raise up; arms straighten; hips shift forward; legs bend at the knees; feet lift off the ground.
pick up; head looks down slightly; hand moves towards object; arm bends at elbow; hip doesn't move; leg doesn't move; foot doesn't move.
throw; head looks up; hand grips object; arm cocked back; hip turns slightly; leg slightly bends; foot remains still.
sit down; head looks down slightly; hand holds onto nearby surface for balance; arm extends forward for support; hip begins to bend; leg straightens; foot lifts off ground.
stand up; head tilts slightly forward; hand grasps doorframe; arm extends to support body; hip flexes to lift body; leg straightens at knee and hip; foot lifts off floor.
clapping; head slightly tilted upwards; hands moving up and apart; arms straightening and then bending; hips not moving; legs not moving; feet flat on the ground.
reading; head is tilted slightly forward and to the left; right hand is holding the book up close to face; left arm is bent at the elbow and resting on the arm of the chair; hips are level with shoulders; legs are crossed at the ankles; feet are flat on the floor.
writing; head is slightly tilted forward; right hand is holding a pen; left hand is holding the paper; right arm is bent at the elbow and held close to the body; hips are stationary; legs are slightly bent; feet are flat on the floor.
tear up paper; head is focused forward; hand is reaching for the paper; arm is extended forward; hip is neutral; leg is slightly bent; feet are flat on the ground.
put on jacket; head looks down; hand reaches up and grasps the jacket; arm brings the jacket down to level; hip slightly bends forward; leg stands still; foot stands on both feet.
take off jacket; head tilts back slightly; grabs the bottom of jacket with both hands, brings hands up the jacket; arms straighten as the jacket falls down; hip steps out of the jacket; legs straight; feet on the ground.
put on a shoe; head remains still; hand reaches down and grasps shoe; arm extends down and forward; hip remains stationary; leg bends at the knee, bringing foot closer to the hand; foot remains still.
take off a shoe; head remains neutral; hand moves to the shoe; arm extends down; hip remains stationary; leg bends at the knee; foot points towards the shoe.
put on glasses; head tilt slightly backwards; hand reach up to forehead; arm bend at elbow; hip stay stationary; leg stay stationary; foot stay stationary.
take off glasses; head slightly tilts back; hand moves up to face; arm extends forward; hip doesn't move; leg doesn't move; foot doesn't move.
put on a hat/cap; head turns slightly to one side; hand reaches for hat; arm extends and bends at elbow; hip remains neutral; leg remains stationary; foot remains stationary.
take off a hat/cap; head tilts slightly forward; hand grasps the brim of the hat/cap; arm: raises the hat/cap; hip remains stationary; leg remains stationary; foot remains stationary
cheer up; head tilts slightly forward; hand comes up to chest level with palms facing in; arm elbow is bent and held close to body; hip remains stationary; leg remains stationary; foot remains stationary.
hand waving; head still; hand moving up; arm extending; hip stable; leg stable; foot still
kicking something; head looks down; hands are relaxed at sides; arm is relaxed at sides; hip is slightly shifted forward; leg is bent at the knee and lifted off the ground; foot is flexed and ready to strike.
reach into pocket; head remains neutral; hand moves towards pocket; arm extends forward and slightly downward; hip remains stationary; leg remains stationary; foot remains stationary.
hopping; head remains still; hands hold onto hips for balance; arms relaxed by sides; hip slightly bent; leg starts to lift; foot flexes to prepare for takeoff.
jump up; head tilts back and the chin points up; hands come up to the chest; arms bend at the elbows and the forearms come up; hips push forward and the legs bend at the knees; legs prepare to spring forward and the feet stay in place.
phone call; head tilts slightly forward; hand reaches for phone; arm extends and bends at elbow; hip shifts weight slightly; leg relaxes; foot taps on the ground.
play with phone/tablet; head looking down at the phone/tablet; hand holding the phone/tablet; arm holding the phone/tablet; hip keeping the body upright; leg keeping the body balanced; foot keeping the body stable.
type on a keyboard; head slightly tilted forward; hand hovering above the keyboard; arm bent at the elbow, hand in a neutral position; hip relaxed, leaning slightly forward; leg relaxed, weight evenly distributed on both feet; foot flat on the floor.
point to something; head turns slightly to the side; hand raises and points finger at the object; arm is extended and finger is pointing at the object; hips are steady; leg nearest to the object is straight; foot is flat on the ground.
taking a selfie; head slightly tilts upward; hand reaches for phone in pocket; arm is bent at the elbow; hip remains neutral; leg is straight; foot is flat on the ground.
check time (from watch); head turns to look at watch; hand raises arm to eye level; arm bends at elbow to bring watch closer to eyes; hip remains stationary; leg remains stationary; foot remains stationary
rub two hands; head is still; hand moves towards other hand; arm is extended and hand is moving towards the other hand; hip is stationary; legs are slightly apart; feet are flat on the ground.
nod head/bow; head tilt forward slightly at the neck; hand rest on hip; arm remain relaxed; hip remain stationary; leg remain stationary; foot remain stationary.
shake head; head tilt to side; hand rest on shoulder; arm relaxed; hip stay in place; leg stay in place; foot stay in place.
wipe face; head tilts slightly to the side; hand moves up from lap to face; arm extends out from body and hand approaches cheek; hip remains stationary; leg remains stationary; foot remains stationary.
salute; head tilts back slightly; hand raises right hand and brings it to forehead; arm is extended straight out from shoulder; hips are level with shoulders; legs are straight and together; feet are together and pointing forward.
put palms together; head remains neutral; hands move towards each other; arms extend slightly forward; hip remains stationary; leg remains stationary; foot remains stationary.
cross hands in front; head remains stationary; hand moves across midline of body; arm extends slightly forward; hip remains stationary; leg remains stationary; foot remains stationary.
sneeze/cough; head will tilt back slightly and their chin will raise up; bring their hand up to their face, cupping their mouth and nose; arm the person's arm will raise up to their face; hip will not move; leg will not move; foot will not move.
staggering; head is tilting to one side; hand is outstretched in front for balance; arm is flailing outward; hip is swaying; leg is lifting off the ground; foot is not making contact with the ground.
falling down; head tilts forward slightly; hand reaches out to regain balance; arm extends in front; hip starts to shift weight; leg bends at the knee; foot begins to lift off the ground.
head rubbing; hand rubbing head with fingers; arm moving up and down; hip sitting; leg sitting; foot sitting.
chest pain; head tilts forward in discomfort; hand rises to head in a defensive gesture; arm hangs limp at side; hip remains still; leg remains still; foot remains still.
back pain; head is tilted back; hand is on lower back; arm is extended behind him; hip is flexed; leg is straight; foot is flat on the ground.
neck pain; head is tilting to the side; hand is reaching for the back of the head; arm is extending to support the head; hip is remaining stationary; leg is remaining stationary; foot is remaining stationary.
nausea/vomiting; head is tilted back and eyes are closed; one hand is on stomach and the other is on chest; arms are slightly bent at the elbows; hips are slightly bent; legs are slightly bent at the knees; feet are flat on the ground.
fan self; head turns slightly to the side; hand reaches up; arm extends out and upwards; hip doesn't move; leg doesn't move; foot doesn't move.
punch/slap; Head tilts slightly forward; Hand moves back and up to generate power; Arm is cocked back and bent at the elbow; Hip is slightly rotated to generate torque; Leg is planted firmly on the ground for stability; Foot is shoulder-width apart for balance.
kicking; head: looks forward; hand: holds balance; arm: stabilizes the body; hip: prepares for movement; leg: bends; foot: lifts off the ground.
pushing; tilts head slightly forward; grasps object with hand; arm extended; hip remains stationary; leg remains stationary; foot remains stationary.
pat on back; head remains still; hand comes up from behind and moves forward; arm extends and bends at elbow; hip remains stationary; leg remains stationary; foot remains stationary.
point finger; head keeps still; hand extends the index finger and points to the direction; arm extends the arm and points the finger; hip keeps still; leg keeps still; foot keeps still.
hugging; head leans forward slightly; hand reaches out to grasp; arm extends forward and downward; hip moves slightly forward; leg shifts weight onto foot; foot takes a small step forward.
giving object; head remains still; hand extends arm out; arm extends forward with slight rotation; hip remains still; leg remains still; foot remains stationary.
touch pocket; head remains stationary; hand moves towards pocket; arm bends at elbow; hip remains stationary; leg remains stationary; foot remains stationary.
shaking hands; head remains neutral; hand extends from the body and approaches the other person's hand; arm extends from shoulder and flexes at the elbow; hip remains stationary; leg remains stationary; foot remains stationary.
walking towards; head looking forward; hands relaxed by sides; arms swinging at sides; hips swaying slightly; legs moving forward; feet rolling forward
walking apart; head is looking forward; hands are by the sides; arms are relaxed; hips are slightly tilted; legs are shifting weight; feet are shifting weight from one foot to the other.
put on headphone; head moves slightly forward as he brings the headphone up to ear; hand moves up to head, holding the headphone in place; arm moves up to head; hip moves slightly forward; leg moves slightly forward; foot stand still.
take off headphone; head tilts slightly forward; hand moves to the headphone jack; arm straightens; hip remains still; leg remains still; foot remains still.
shoot at basket; turns head to look at the basket; holds the ball with hand; bends arm to hold the ball; keeps hip still; leg stands still; foot stands still.
bounce ball; head remains still; hand holds the ball; arm is slightly bent; hip is neutral; leg is slightly bent; foot is planted.
